sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
227021001,17,18,3,29,2,3,9,1,1,0,1,0,1,1
047242001/047243013,30,12,3,34,4,0,5,1,2,0,0,1,3,3
047315003,20,9,2,26,3,2,8,0,2,0,0,1,0,0
047058001,12,20,6,54,1,1,6,0,3,0,0,1,3,2
047153002,20,27,6,48,6,2,6,3,3,0,0,2,2,1
217169001,30,17,5,40,7,2,4,1,2,0,0,1,0,0
187029001,9,11,1,43,5,2,10,1,4,0,0,0,4,2
047121001,23,21,5,44,2,1,2,0,0,0,0,0,3,1
077104006/077104007,29,13,2,18,1,2,11,0,0,0,1,0,1,2
128007002,25,8,3,12,7,1,17,0,2,0,4,0,8,1
037057007,24,20,9,47,10,2,10,1,2,2,1,0,3,3
128001003,22,30,4,33,8,1,1,0,2,1,0,2,3,2
128001007,28,12,4,23,3,1,13,2,2,0,0,2,1,9
128001005,38,20,3,25,2,1,6,0,2,0,1,2,1,1
127031004,41,22,6,29,7,1,8,3,2,0,1,1,1,5
127026024,7,26,1,53,1,3,11,0,2,0,0,0,0,2
127026042,7,13,3,77,2,0,6,1,8,0,2,2,0,4
127026032,28,3,2,7,0,0,2,2,3,0,0,0,3,80
067170013,24,18,3,18,2,0,8,0,4,0,3,1,2,5
128005004,22,7,1,12,0,0,4,3,2,0,1,0,0,19
037154006,21,19,6,16,4,0,0,0,1,0,1,0,0,3
067213001,25,12,9,25,4,0,12,1,0,0,0,2,1,5
127036003,12,3,1,26,5,3,14,1,2,0,2,2,3,3
128023002,33,8,1,16,10,4,16,2,5,0,3,4,5,13
267144002,20,18,5,37,4,3,7,5,3,0,1,5,3,3
267148002,26,9,0,22,2,1,15,1,3,1,4,4,5,3
267086010,21,36,3,36,2,2,6,1,5,0,1,0,0,1
